,study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
3,354,2014-01-11 10:23:14,C2.1,682.5184143406076,-88.69097225684392,605.6439819335938,-108.99700164794922,479.2319946289063,488.0,Active Region,PRY_slot_contextLITE,eis_20140111_102314.data.h5,366.0279846191406,845.2599792480469,-352.9970016479492,135.00299835205078
4,437,2014-01-11 10:26:21,C2.1,682.5184143406076,-88.69097225684392,620.6790161132812,-108.1510009765625,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20140111_102621.data.h5,500.8710174560547,740.4870147705078,-364.1510009765625,147.8489990234375
15,354,2014-02-01 10:47:27,C3.5,-443.0028281479608,-145.5965018251593,-406.781005859375,-149.3560028076172,479.2319946289063,488.0,Active Region,PRY_slot_contextLITE,eis_20140201_104727.data.h5,-646.3970031738281,-167.16500854492185,-393.3560028076172,94.64399719238281
17,354,2014-02-02 06:02:26,C7.5,-149.9869021375198,-77.88790387054856,-15.13539981842041,-0.4227479994297027,479.2319946289063,488.0,Active Region,PRY_slot_contextLITE,eis_20140202_060226.data.h5,-254.75139713287356,224.48059749603274,-244.4227479994297,243.5772520005703
18,91,2014-02-02 06:05:41,C7.5,-149.9869021375198,-77.88790387054856,-132.41099548339844,-0.4999879896640777,266.0,512.0,Quiet Sun,Alignment_266,eis_20140202_060541.data.h5,-265.41099548339844,0.5890045166015625,-256.4999879896641,255.50001201033592
20,494,2014-02-02 06:07:48,C7.5,-149.9869021375198,-77.88790387054856,-132.48800659179688,-0.4999879896640777,266.0,512.0,Quiet Sun,XRT_synop_AIA,eis_20140202_060748.data.h5,-265.4880065917969,0.511993408203125,-256.4999879896641,255.50001201033592
21,354,2014-02-03 06:23:49,C5.7,-0.9958886292297392,-69.82047322621439,-15.212599754333496,-0.3455080091953277,479.2319946289063,488.0,Active Region,PRY_slot_contextLITE,eis_20140203_062349.data.h5,-254.82859706878665,224.40339756011966,-244.34550800919533,243.65449199080467
22,91,2014-02-03 06:27:04,C5.7,-0.9958886292297392,-69.82047322621439,-132.48800659179688,-0.4227479994297027,266.0,512.0,Quiet Sun,Alignment_266,eis_20140203_062704.data.h5,-265.4880065917969,0.511993408203125,-256.4227479994297,255.5772520005703
23,494,2014-02-03 06:29:11,C5.7,-0.9958886292297392,-69.82047322621439,-132.48800659179688,-0.4227479994297027,266.0,512.0,Quiet Sun,XRT_synop_AIA,eis_20140203_062911.data.h5,-265.4880065917969,0.511993408203125,-256.4227479994297,255.5772520005703
